"x","y","z","bhd"
81.957,-47.911,0.196,16.5
18.52,33.521,-2.248,16.5
33.335,20.586,-1.021,16.5
10.818,40.946,-3.221,16.5
39.817,-18.717,-0.848,16.5
49.085,35.895,1.637,16.5
5.014,39.215,-4.326,16.5
22.698,-19.93,-1.506,16.4
54.276,18.24,0.665,16.4
18.449,46.785,-1.552,16.4
43.858,49.545,2.509,16.3
25.996,48.532,-0.19,16.3
63.553,39.775,3.449,16.3
112.523,-10.171,5.036,16.3
128.019,-56.07,0.61,16.3
44.38,54.294,2.543,16.2
81.371,-38.382,1.583,16.2
25.265,35.997,-0.692,16.2
-3.393,38.96,-5.859,16.2
-8.169,61.592,-7.773,16.2
88.069,-55.952,-0.823,16.2
61.213,-35.753,0.126,16.1
83.741,-44.623,0.876,16.1
57.488,-31.375,0.397,16.1
67.117,-34.62,0.886,16
14.875,37.781,-2.51,16
142.477,-38.817,2.459,15.9
17.519,38.179,-1.99,15.9
16.38,-5.848,-1.256,15.9
8.285,40.689,-3.812,15.9
36.776,24.527,-0.45,15.8
54.143,-17.441,0.798,15.7
-0.416,17.427,-4.18,15.7
67.345,-8.341,1.761,15.6
-5.224,51.724,-6.598,15.6
6.801,-0.254,-1.735,15.5
70.371,-40.474,0.339,15.4
13.922,25.006,-3.268,15.4
-4.171,24.028,-4.845,15.4
